SKU,DESCRIPCION,GRUPO,FAMILIA,SUBFAMILIA,TIPO
P0201007001,TRAVERTINO DORADO  30.5 X 30.5 X 1.0cm  SELECTO/A  BRILLANTE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO DORADO
P0201007002,TRAVERTINO DORADO  30.5 X 30.5 X 1.0cm  SELECTO/A  ENVEJECIDO,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO DORADO
P0201007003,TRAVERTINO DORADO  30.5 X 30.5 X 1.0cm  SELECTO/A  MATE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO DORADO
P0201007004,TRAVERTINO DORADO  45.7 X 45.7 X 1.0cm  SELECTO/A  BRILLANTE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO DORADO
P0201007005,TRAVERTINO DORADO  45.7 X 45.7 X 1.0cm  SELECTO/A  ENVEJECIDO,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO DORADO
P0201007006,TRAVERTINO DORADO  45.7 X 45.7 X 1.0cm  SELECTO/A  MATE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO DORADO
P0204007201,PIEDRA LAJA SAN ANDRES  30.5 X 30.5 X 1.0cm  ESTÁNDAR  AL CORTE,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA PIEDRA LAJA SAN ANDRES
P0204207204,PIEDRA SAN ANDRES  10 X 10 x 4-6cm CORTE GUILLOTINA,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA PIEDRA LAJA SAN ANDRES
P0204227202,PIEDRA LAJA BLANCA IRREGULAR PARA CHAPEO,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA PIEDRA LAJA SAN ANDRES
P0205007203,PIEDRA LAJA BLANCA SELECCIONADA PARA CHAPEO 7CM,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA PIEDRA LAJA SAN ANDRES
P0204007501,INDIAN AUTUM  30.5 X 30.5 X 1.0cm  ESTÁNDAR  AL CORTE,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA INDIAN AUTUM
P0204025405,PIZARRA INDIAN AUTUMN 60 X 30 1cm,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA INDIAN AUTUM
P0204007601,PIZARRA MULTICOLOR  40.6 X 40.6 X 1.0cm  ESTÁNDAR  AL CORTE,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA MULTICOLOR
P0204007602,PIZARRA MULTICOLOR  40 X 40  1.0cm,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA MULTICOLOR
